user_id,username,password,nickname,phone,avatar,sex,birthday,is_valid,email,province
1,余承东,96e79218965eb72c92a549dd5a330112,余承东,12200003345,images/avatars/default.jpg,男,2000/1/1,1,12200003345@example.com,安徽
2,雷军,9a952cd91000872a8d7d1f5ee0c87317,雷军,12200003346,images/avatars/default.jpg,男,2000/1/2,1,12200003346@example.com,安徽
3,柳传志,f6be2ff0d88a9434a04a79c0e1a28066,柳传志,12200003347,images/avatars/default.jpg,男,2000/1/3,1,12200003347@example.com,安徽
4,索尼,2707b2f06a3967105746389278bdf01d,索尼,12200003348,images/avatars/default.jpg,男,2000/1/4,1,12200003348@example.com,安徽
5,库克,0097d9f20753f2e606a36c45693562b2,库克,12200003349,images/avatars/default.jpg,男,2000/1/5,1,12200003349@example.com,山东
6,当当,1d2f816fd3c2e0a226c43f5b19e60007,当当,12200003350,images/avatars/default.jpg,男,2000/1/6,1,12200003350@example.com,山东
7,人大,f48f7bb1bc6b73e178f57f632d312b3d,人大,12200003351,images/avatars/default.jpg,男,2000/1/7,1,12200003351@example.com,山东
8,清华,5429d3157f649805adc2d506df2c31b5,清华,12200003352,images/avatars/default.jpg,男,2000/1/8,1,12200003352@example.com,山东
9,机工,0d659ddc03566cb9c55c9ccf0eb2f1bb,机工,12200003353,images/avatars/default.jpg,男,2000/1/9,1,12200003353@example.com,广东
10,三联书店,d1ec29d7366e8b4cbebbd9f63797ebeb,三联书店,12200003354,images/avatars/default.jpg,男,2000/1/10,1,12200003354@example.com,广东
11,人文社,fbe5432b9d3f71f3c03c9d7fd0297c2d,人文社,12200003355,images/avatars/default.jpg,男,2000/1/11,1,12200003355@example.com,广东
12,读客,0b7da663c8a1ee358aa8dbb6e55d0d2b,读客,12200003356,images/avatars/default.jpg,男,2000/1/12,1,12200003356@example.com,广东
13,新星,e49274516a27487f894ae956166eb7a4,新星,12200003357,images/avatars/default.jpg,男,2000/1/13,1,12200003357@example.com,广东
14,张三,1e14e388e4042dc43defefb9f88695e1,张三,12200003358,images/avatars/default.jpg,男,2000/1/14,1,12200003358@example.com,广西
15,李四,ce43ec4b39fa77a2030d73f8855c4396,李四,12200003359,images/avatars/default.jpg,男,2000/1/15,1,12200003359@example.com,广西
16,王五,3949350cebfd1d32e7278eaed55dc2f1,王五,12200003360,images/avatars/default.jpg,男,2000/1/16,1,12200003360@example.com,广西
17,李柳,c52f5ca65357bf402df21e7db538007e,李柳,12200003361,images/avatars/default.jpg,男,2000/1/17,1,12200003361@example.com,广西
18,朱琪,e23c30d902f86fc06f700bc4cbe9d67e,朱琪,12200003362,images/avatars/default.jpg,女,2000/1/18,1,12200003362@example.com,四川
19,张强,3447ce251398f59b274e0acfe1541df7,张强,12200003363,images/avatars/default.jpg,男,2000/1/19,1,12200003363@example.com,四川
20,丁震,03a892d43834d530f2e81de80c96384d,丁震,12200003364,images/avatars/default.jpg,男,2000/1/20,1,12200003364@example.com,四川
